20-07-08-12-58-19-ee6a0d,1.1.50
20-07-14-16-18-56-47f646,1.1.50
20-07-16-12-49-13-79ed91,1.1.50
20-07-27-03-42-28-dfd602,1.1.50
20-07-29-04-47-07-b36de9,1.1.50
20-07-31-07-33-41-f4bda8,1.1.50
20-08-10-07-52-45-69cad6,1.1.50
20-08-11-13-00-08-3c5f56,1.1.50
20-08-15-13-03-29-c44224,1.1.50
20-08-24-09-47-26-b1935e,1.1.80
20-08-28-13-42-05-f77251,1.1.80
20-09-03-14-34-55-feb577,1.1.80
20-09-09-05-56-07-33b349,1.1.80
20-09-23-10-12-25-72c56a,1.1.90
20-09-27-11-52-42-b18257,1.1.90
20-10-10-08-51-25-a0b050,1.1.90
20-10-12-06-54-26-a874dc,1.1.90
20-10-20-10-31-50-0353fa,1.1.90
20-10-23-12-09-22-22451f,1.1.90
20-10-28-14-27-13-e9358e,1.1.90
20-10-30-07-01-49-c0b8d2,1.2.01
20-11-01-12-18-32-cebe0a,1.2.01
20-11-03-07-52-10-eb3c1c,1.2.01
20-11-10-10-27-52-2cf411,1.2.01
20-11-13-08-15-09-d6f91c,1.2.01
20-11-28-13-12-36-7a2c09,1.2.01
20-12-15-10-24-21-bcc8ba,1.2.10
20-12-21-13-06-28-384437,1.2.10
20-12-30-09-20-08-499e90,1.2.10
20-12-29-12-56-19-bba809,1.2.10
21-01-18-08-31-19-973402,1.2.80
21-01-21-09-13-26-b14fa0,1.2.80
21-01-23-11-52-28-9bbef6,1.2.80
21-01-28-16-10-28-7a4717,1.2.80
21-02-03-10-14-07-b35c16,1.2.80
21-02-03-14-15-22-0255a3,1.2.80
21-02-08-10-04-10-6ca1a8,1.2.80
21-02-24-14-49-28-e9903f,1.2.80
21-03-05-09-35-05-0ed8ea,1.4.01
21-03-11-14-04-07-710103,1.4.01
21-03-26-09-10-35-ad2746,1.4.01
21-03-31-08-05-16-bca992,1.4.01
21-04-14-15-45-46-985250,1.5.01
21-04-20-13-10-55-17ee8d,1.5.01
21-04-23-11-20-15-d7b59f,1.5.01
21-04-29-06-59-59-8dd4f0,1.5.01
21-05-11-07-49-51-05d9c2,1.5.01
21-05-21-15-03-38-fdb18c,1.5.01
21-05-28-09-46-08-b330c3,1.5.20
21-06-03-04-13-26-eabbab,1.5.20
21-06-07-07-59-42-6c9a3f,1.5.20
21-06-15-09-54-40-c564c9,1.5.20
21-06-18-13-47-13-46b6b8,1.5.20
21-06-29-14-22-43-a5e7c6,1.5.40
21-07-05-15-41-17-98c6e2,1.5.40
21-07-09-11-29-30-f11d8b,1.5.40
21-07-19-08-52-45-d4be51,1.5.40
21-07-22-08-22-58-af674c,1.5.40
21-07-31-12-30-08-f990db,1.5.60
21-08-03-12-25-17-c29e7f,1.5.60
21-08-06-06-15-06-6c1ef8,1.5.60
21-08-09-08-07-49-04a9de,1.5.60
21-08-13-11-15-40-b56358,1.5.60
21-08-23-08-54-01-004587,1.5.60
21-08-30-15-38-56-a54a23,1.5.60
21-09-09-07-54-36-7265cb,1.5.60
21-09-17-07-24-20-08136c,1.5.81
21-09-18-15-34-20-30ae91,1.5.81
21-09-19-11-36-27-38d95d,1.5.81
21-09-22-14-28-33-3b3842,1.5.81
21-09-28-11-41-43-f739f9,1.5.81
21-10-07-15-13-51-f0161a,1.5.81
21-10-11-12-30-51-9ab9d9,1.5.81
21-10-15-13-34-40-0fdb28,1.5.81
21-10-22-04-26-44-f96b27,1.5.81
21-10-29-08-48-35-a8c463,1.6.01
21-11-01-10-57-18-571e13,1.6.01
21-11-04-07-40-19-cd5c5b,1.6.01
21-11-10-05-52-36-9b74e0,1.6.01
21-11-19-13-20-14-375409,1.6.01
21-12-01-03-53-27-2e01ea,1.6.01
21-12-08-10-59-09-87369e,1.6.01
21-12-20-11-35-34-2398dd,1.7.01
21-12-25-11-18-44-23a573,1.7.01
21-12-29-09-50-06-64347b,1.7.01
21-12-31-15-44-39-814f71,1.7.01
22-01-10-16-38-42-d230b0,1.7.01
22-01-14-17-58-34-bd68ad,1.7.01
22-01-23-11-00-03-b1a021,1.7.21
22-01-26-13-54-40-f76a9e,1.7.21
22-02-08-12-37-18-a97933,1.7.21
22-02-11-13-53-13-c21f1b,1.7.21
22-02-21-15-47-58-8b3cf8,1.7.21
